appln_id,weighted_weak_ties,age,KR.x,techsum,d_index,c_index,D_index,citation_num,docdb_family_size,appln_auth,appln_filing_year,appln_kind,science_intensity,avg,sect.y,avg2,focal_aid,tie_strength,Bool_weak,weighted_tie_strengh,Bool_weighted_weak,new_Bool_weighted_weak,IPC_LIST,number_of_ipc4,ipc_distance
26065,2,0.0,0.914618809,0.0,0.238859288,0.0,0.025210084,3,15,EP,1993,A,0.0,0.0,2,0.0,26065,0.0114942528735632,0,0.0042105263157894,0,强链接,C12R;C12P;C12N;A61K;C07H;A61P;C12Q,7,0.55270958422326
40182,0,45.0,0.879653629,22015.5,0.0,0.0,0.0,0,6,EP,2007,A,0.5,0.042330951,4,0.001791909,40182,0.0171821305841924,0,0.0423309510720175,0,强链接,G01N;C12N;A61K;C07K;A61P;C12Q,6,0.5480386160131006
41838,2,7.5,0.0,22.5,0.50815722,0.0,0.010752688,1,5,EP,2008,A,0.047619048,0.0,4,0.0,41838,0.0,2,0.0,2,,A61K,1,0.0
41870,2,0.0,0.762015709,0.0,0.148779461,0.0,0.025,1,7,EP,2006,A,0.333333333,0.0,4,0.0,41870,0.010204081632653,0,0.0849673202614379,0,强链接,A61P;A61K;A61L,3,0.548569628823428
42845,2,0.0,0.86406453,0.0,0.0,0.0,0.0,0,41,EP,2003,A,0.642857143,0.0,4,0.0,42845,0.0,2,0.0,2,,A61K;C07K;G01N,3,0.6379945444514895
52807,2,0.0,0.58032804,0.0,0.0,0.0,0.0,0,18,EP,2005,A,0.285714286,0.0,1,0.0,52807,0.0,2,0.0,2,,C07D;A61K;A61P,3,0.5585213767579899
52954,2,0.0,0.801310882,0.0,0.0,0.0,0.0,0,5,EP,2006,A,0.592592593,0.0,6,0.0,52954,0.2666666666666666,0,0.6885245901639344,0,强链接,A61K;C12N,2,0.515266476217991
52998,2,0.0,0.851225965,0.0,0.0,0.0,0.0,0,6,EP,2006,A,0.571428571,0.0,6,0.0,52998,0.0,2,0.0,2,,C12N;A61L;A61K;C07K;A61P,5,0.5653385069238372
53057,2,0.0,0.676674661,0.0,0.0,0.0,0.0,0,13,EP,2006,A,0.333333333,0.0,2,0.0,53057,0.0,2,0.0,2,,A61K;C12N;A61P,3,0.4904273563416275
53558,2,0.0,0.96170366,0.0,0.0,0.0,0.0,0,2,EP,2008,A,0.333333333,0.0,4,0.0,53558,0.0,1,0.0,1,弱链接,A61Q;A61K;C07C,3,0.6446378760543281
54450,2,23.0,0.954547128,75.5,0.0,0.0,0.0,0,15,EP,1988,A,0.0,0.0,4,0.0,54450,0.0,2,0.0,2,,A61K;C12R;C12N;C12H,4,0.6507876640066144
54599,2,15.0,0.782130033,9.5,0.462281062,0.0,0.064516129,4,9,EP,2002,A,0.2,0.0,1,0.0,54599,0.0,2,0.0,2,,A61P;A61K;A61L;C07D,4,0.6176693304542036
54624,2,42.5,0.804610494,260.5,0.069440407,0.0,0.009615385,1,18,EP,2002,A,0.777777778,0.0,4,0.0,54624,0.0,1,0.0,1,弱链接,C12P;C12N;A61K;C07K;A61P,5,0.5227169761817981
